,census_tract,lat,lon,ZCTA5,pop9,median_fam_inc_9,median_hh_inc_9,median_house_value_9,median_rent_9,median_fam_inc_0,median_hh_inc_0,median_house_value_0,median_rent_0,median_fam_inc_1,median_hh_inc_1,median_house_value_1,median_rent_1,rent_units_9,rent_units_0,rent_units_1
1855,36081071100,40.7220691,-73.8524931,11375.0,5229,50055,37072,246344,551,61087,50453,264580,863,105175,67926,275000,1387,1496,1513,1187
1856,36081071303,40.7258401,-73.8496444,11375.0,4945,45985,32229,267100,542,56182,46543,268200,854,81446,54591,244200,1207,2128,1933,1822
1857,36081071304,40.7288128,-73.8541386,11374.0,5550,45985,32229,267100,542,56182,46543,268200,854,67029,49389,243100,1002,2388,2170,1811
1858,36081071305,40.7241595,-73.85148609999999,11375.0,4044,46786,35313,233600,597,55893,46750,282800,913,90208,73333,330000,1581,1828,1913,2038
1859,36081071306,40.7260735,-73.8560987,11374.0,5216,46786,35313,233600,597,55893,46750,282800,913,63109,49698,278000,1303,2359,2468,2021
1860,36081071600,40.6460162,-73.7876652,11430.0,372,32159,34379,163800,499,58413,52852,188232,864,0,0,0,0,25,14,0
1861,36081071701,40.7312287,-73.85994670000001,11374.0,4019,36788,32779,97200,578,50145,39845,210800,762,69701,52608,248800,1221,1199,1150,1283
1862,36081071702,40.733397700000005,-73.8627243,11374.0,4249,36788,32779,97200,578,50145,39845,210800,762,71071,50664,256300,1176,1269,1218,676
1863,36081071900,40.7346182,-73.8555472,11374.0,3447,37403,30121,209964,536,37951,34351,238733,746,65000,47574,541900,1062,1112,847,652
1864,36081072100,40.7311896,-73.8537413,11374.0,4582,41902,31658,224800,498,39899,33402,269900,719,69688,62045,245400,1092,1594,1494,1010
1865,36081072300,40.7162394,-73.8477446,11375.0,2243,82585,68539,397915,987,117732,106844,507493,1535,153523,134032,936400,1739,102,55,94
1866,36081072900,40.7128152,-73.8521724,11375.0,1326,50921,44167,225700,686,70682,49635,270100,893,103164,82167,607300,1238,131,125,142
1867,36081073100,40.7109534,-73.84633170000001,11375.0,1552,56652,46471,251200,773,71813,57096,291200,915,112113,101679,658600,1567,177,247,171
1868,36081073700,40.7184419,-73.843242,11375.0,1816,76849,44567,471100,602,86527,51367,625000,846,101961,62050,526100,1423,707,773,688
1869,36081073900,40.7236917,-73.8442823,11375.0,4519,64487,41144,377300,618,72392,55000,434600,935,109514,87857,292500,1658,1611,1729,1454
1870,36081074100,40.728280700000006,-73.8470482,11375.0,3002,50923,37063,370300,489,64118,49625,400000,760,71618,61028,307200,1066,786,799,491
1871,36081074300,40.7322992,-73.84924609999999,11375.0,4104,36218,30236,240700,518,46406,36824,257400,757,53750,43238,296100,1095,1104,1186,900
1872,36081074500,40.7360593,-73.850749,11375.0,2874,34633,25390,226269,476,37115,28790,244048,654,47100,40083,571200,842,1009,1056,1250
1873,36081074700,40.732608899999995,-73.8452073,11375.0,3334,48047,45165,298500,558,57375,56125,279200,849,78750,65040,258300,1235,655,532,536
1874,36081074900,40.7132541,-73.8400801,11375.0,1716,99094,78553,496917,992,108734,100024,491801,1937,111083,110750,1000001,2001,116,150,82
1875,36081075701,40.718221899999996,-73.8347946,11375.0,2934,64411,40099,390368,615,77711,56267,516900,892,87957,75323,278700,1596,957,941,1171
1876,36081075702,40.7243175,-73.840184,11375.0,5289,64411,40099,390368,615,77711,56267,516900,892,101563,73514,355100,1206,1727,1697,968
